,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built
140,20140627T000000,665000,2.0,1.0,1110,3200,1.0,0,0,7,1110,0,1925
141,20140708T000000,527700,5.0,2.5,2820,9375,1.0,0,0,8,1550,1270,1968
142,20150508T000000,205000,3.0,1.0,1610,8579,1.0,0,0,7,1010,600,1962
143,20150415T000000,420000,3.0,1.0,1060,8097,1.0,0,0,7,940,120,1923
144,20150227T000000,500000,4.0,2.25,2030,8517,1.0,0,0,8,1380,650,1961
145,20141203T000000,921500,4.0,2.5,3670,315374,2.0,0,0,9,3670,0,1994
146,20140625T000000,890000,4.0,1.0,2550,4000,2.0,0,0,8,2370,180,1905
147,20140806T000000,430000,2.0,2.5,2420,60984,2.0,0,0,7,2420,0,2007
148,20141030T000000,258000,5.0,2.0,2260,12500,1.0,0,0,8,1130,1130,1960
149,20141104T000000,511000,3.0,1.0,1430,3455,1.0,0,0,7,980,450,1947
150,20140820T000000,532170,3.0,2.0,1360,3090,2.0,0,0,8,1360,0,1990
151,20150409T000000,560000,3.0,1.0,1110,5000,1.5,0,0,7,1110,0,1947
152,20150331T000000,282950,3.0,1.0,1250,8200,1.0,0,0,7,1250,0,1954
153,20150401T000000,2250000,4.0,3.25,5180,19850,2.0,0,3,12,3540,1640,2006
154,20140516T000000,350000,1.0,1.0,700,5100,1.0,0,0,7,700,0,1942
155,20140728T000000,215000,3.0,1.0,1180,7669,1.0,0,0,7,1180,0,1967
156,20141120T000000,650000,5.0,3.5,3960,25245,2.0,0,0,9,2500,1460,1996
157,20140807T000000,320000,4.0,2.75,2640,7500,1.0,0,0,8,1620,1020,1967
158,20141113T000000,247000,3.0,2.0,1270,7198,1.5,0,0,7,1270,0,1916
159,20141003T000000,320000,4.0,1.75,1760,11180,1.0,0,0,8,1760,0,1968
160,20140507T000000,255000,5.0,2.25,2060,8632,1.0,0,0,7,1030,1030,1962
161,20150309T000000,438000,3.0,1.75,1780,9660,1.0,0,0,7,1780,0,1962
162,20150304T000000,900000,3.0,2.5,3400,16603,2.0,0,0,10,3400,0,2000
163,20140620T000000,441000,3.0,2.75,1910,7280,1.0,0,0,7,1160,750,1979
164,20140812T000000,420000,3.0,2.0,2020,38332,1.0,0,0,7,1010,1010,1975
165,20141208T000000,370000,3.0,1.75,1580,7000,1.0,0,0,7,1180,400,1976
166,20150219T000000,269950,2.0,1.75,1340,7250,1.0,0,0,5,700,640,1949
167,20150324T000000,807100,4.0,2.5,2680,4499,2.0,0,0,9,2680,0,1999
168,20140605T000000,653000,3.0,2.5,2680,9750,1.0,0,0,8,1610,1070,1979
169,20140611T000000,371500,3.0,2.0,1370,8336,1.0,0,0,7,1370,0,1964
170,20150316T000000,284000,3.0,1.75,1560,21000,1.0,0,0,7,1560,0,1954
171,20150102T000000,272000,3.0,1.75,2160,7140,1.0,0,0,7,1670,490,1978
172,20140502T000000,313000,3.0,1.5,1340,7912,1.5,0,0,7,1340,0,1955
173,20150116T000000,917500,4.0,2.5,3880,35003,2.0,0,0,10,2570,1310,1984
174,20140929T000000,673000,4.0,2.25,2590,8190,2.0,0,0,8,2590,0,1980
175,20150210T000000,425000,3.0,2.5,1120,1100,2.0,0,0,8,820,300,2008
176,20140709T000000,399950,5.0,2.75,1970,5400,1.0,0,0,7,1320,650,1986
177,20140530T000000,385000,3.0,1.0,1220,4800,1.0,0,0,6,1220,0,1901
178,20141117T000000,269950,3.0,1.5,1950,7560,1.0,0,2,7,1320,630,1975
179,20150107T000000,330000,2.0,1.0,1350,8220,1.0,0,0,7,1060,290,1949
180,20140725T000000,260000,3.0,2.5,1670,5797,2.0,0,0,7,1670,0,1988
181,20150414T000000,470000,4.0,3.0,2380,5125,1.5,0,0,7,1680,700,1925
182,20140613T000000,589000,4.0,3.0,2440,9600,2.0,0,0,7,2440,0,1961
183,20140723T000000,163500,2.0,1.5,1050,3419,2.0,0,0,7,1050,0,1996
184,20140905T000000,835000,4.0,2.75,3130,13412,2.0,0,0,9,2140,990,1993
185,20141121T000000,1095000,5.0,3.0,4090,12850,1.0,0,2,10,2090,2000,1986
186,20150415T000000,269000,4.0,1.75,1490,10000,1.0,0,0,8,1100,390,1969
187,20140505T000000,560000,3.0,2.5,1900,8744,2.0,0,0,8,1900,0,1987
188,20150418T000000,615000,4.0,1.0,1330,2400,1.5,0,0,6,1330,0,1901
189,20141205T000000,585188,3.0,2.25,2230,10026,1.0,0,0,8,1430,800,1975
190,20140818T000000,305000,3.0,1.75,1650,9480,1.0,0,0,7,1220,430,1977
191,20141105T000000,166950,3.0,1.0,1190,8820,1.0,0,0,6,1190,0,1959
192,20140912T000000,799000,3.0,2.5,2140,9897,1.0,0,0,8,2140,0,1959
193,20140625T000000,400000,3.0,2.5,2180,7508,1.0,0,0,7,1420,760,1962
194,20141201T000000,230000,3.0,1.0,1060,10228,1.0,0,0,7,1060,0,1948
195,20140515T000000,256883,3.0,2.5,1690,5025,2.0,0,0,8,1690,0,2003
196,20141111T000000,423000,4.0,2.0,1970,6480,1.5,0,0,7,1130,840,1920
197,20140723T000000,465000,3.0,2.5,2150,4084,2.0,0,0,8,2150,0,2007
198,20150113T000000,440000,3.0,2.5,1910,66211,2.0,0,0,7,1910,0,1997
199,20141014T000000,385000,3.0,1.75,1350,155073,1.0,0,0,7,1350,0,1969
200,20150311T000000,210000,3.0,1.0,860,11725,1.0,0,0,6,860,0,1943
201,20141112T000000,297000,3.0,2.5,1940,14952,2.0,0,0,8,1940,0,1994
202,20140716T000000,470000,3.0,1.0,1010,5000,1.0,0,0,7,1010,0,1952
203,20140804T000000,226500,3.0,1.5,1300,7370,1.0,0,0,7,900,400,1976
204,20150303T000000,274250,3.0,1.0,910,8450,1.0,0,0,6,910,0,1962
205,20140804T000000,840000,4.0,1.75,2480,11010,1.0,0,0,9,1630,850,1966
206,20140919T000000,677900,3.0,2.5,2440,4587,2.0,0,0,8,2440,0,2010
207,20150205T000000,425000,3.0,1.0,1010,5864,1.0,0,0,7,1010,0,1915
208,20141123T000000,180250,2.0,0.75,900,9600,1.0,0,0,6,900,0,1941
209,20140717T000000,464000,6.0,3.0,2300,3404,2.0,0,0,7,1600,700,1920
210,20150422T000000,320000,4.0,2.25,1550,7579,2.0,0,0,8,1550,0,1993
211,20140717T000000,625504,3.0,2.25,1270,1566,2.0,0,0,8,1060,210,2014
212,20140515T000000,592500,4.0,2.5,2240,12032,1.0,0,0,9,2240,0,1983
213,20150114T000000,465000,3.0,2.5,2714,17936,2.0,0,0,9,2714,0,2005
214,20140527T000000,477000,4.0,2.75,1720,6270,2.0,0,0,8,1720,0,1978
215,20150115T000000,280000,2.0,1.0,850,16400,1.0,0,0,6,850,0,1923
216,20150221T000000,1505000,5.0,3.0,3300,33474,1.0,0,3,9,1870,1430,1957
217,20140703T000000,445838,3.0,2.5,2250,5692,2.0,0,0,8,2250,0,2000
218,20140828T000000,1072000,2.0,2.25,3900,14864,1.0,0,3,8,1950,1950,1947
219,20141023T000000,467000,2.0,1.5,1320,10800,1.0,0,0,8,1320,0,1947
220,20140822T000000,686000,4.0,2.5,2760,6440,2.0,0,0,10,2760,0,1999
221,20140605T000000,279950,3.0,2.0,1750,9750,1.0,0,0,7,1350,400,1961
222,20140904T000000,527000,4.0,2.25,2330,19436,2.0,0,0,8,2330,0,1987
223,20140918T000000,325000,3.0,2.25,2220,16020,1.0,0,0,8,1780,440,1966
224,20140903T000000,328000,3.0,2.25,2020,8379,2.0,0,0,7,2020,0,1994
225,20140604T000000,390000,3.0,2.25,1250,7500,1.0,0,0,7,1250,0,1942
226,20150309T000000,479950,2.0,2.0,1510,6516,1.0,0,0,8,1510,0,2005
227,20140529T000000,264950,4.0,2.25,1720,9753,1.0,0,0,7,1120,600,1978
228,20150115T000000,235000,3.0,1.0,1430,15246,1.0,0,0,7,980,450,1961
229,20150303T000000,516500,3.0,2.5,1480,4729,2.0,0,0,7,1480,0,2004
230,20150413T000000,655000,2.0,1.75,1450,15798,2.0,1,4,7,1230,220,1915
231,20140616T000000,500000,4.0,2.75,2280,15347,1.0,0,0,7,2280,0,1960
232,20141121T000000,315000,6.0,2.75,2940,7350,1.0,0,0,8,1780,1160,1978
233,20141120T000000,213000,2.0,1.0,1000,10200,1.0,0,0,6,1000,0,1961
234,20140902T000000,475000,3.0,1.5,2480,5280,1.5,0,0,7,1620,860,1947
235,20140610T000000,1025000,5.0,4.0,3760,28040,2.0,0,0,10,3760,0,1983
236,20150409T000000,416000,3.0,2.0,2220,94300,1.0,0,0,7,1640,580,1976
237,20150320T000000,410000,4.0,1.0,1970,4740,1.5,0,0,7,1670,300,1904
238,20140701T000000,800000,3.0,3.5,3830,221284,2.0,0,0,10,3530,300,1993
239,20140529T000000,472000,6.0,2.5,4410,14034,1.0,0,2,9,2350,2060,1965
240,20141208T000000,225000,3.0,1.75,1430,8505,1.0,0,0,7,1430,0,1968
241,20141001T000000,210000,2.0,1.0,830,6000,1.0,0,0,6,830,0,1940
242,20150127T000000,455000,2.0,1.0,1430,5000,1.5,0,0,7,1430,0,1925
243,20150427T000000,225000,3.0,1.0,1300,8316,1.0,0,0,6,1300,0,1954
244,20140826T000000,480000,2.0,1.0,1030,3060,1.0,0,2,7,790,240,1918
245,20150212T000000,363000,3.0,2.5,2740,11872,2.0,0,0,9,2740,0,1990
246,20140929T000000,2400000,4.0,2.5,3650,8354,1.0,1,4,9,1830,1820,2000
247,20150226T000000,181000,2.0,1.5,720,5120,1.0,0,0,6,720,0,1954
248,20150314T000000,250000,4.0,2.0,2010,7312,1.0,0,0,7,2010,0,1976
249,20150422T000000,481000,3.0,1.75,1560,3000,1.0,0,0,6,770,790,1918
250,20140923T000000,260000,3.0,2.0,1810,7209,1.0,0,0,7,1240,570,1978
251,20140513T000000,455000,4.0,2.5,3360,7685,2.0,0,0,9,3360,0,2001
252,20150401T000000,415000,3.0,2.25,1510,36224,2.0,0,0,8,1510,0,1991
253,20150421T000000,349500,3.0,1.0,1400,3538,1.0,0,0,7,800,600,1953
254,20140929T000000,245000,3.0,2.5,1730,7442,2.0,0,0,7,1730,0,1987
255,20140519T000000,592500,2.0,2.0,1420,9191,1.5,0,2,7,1420,0,1928
256,20141020T000000,385000,4.0,1.75,2360,7620,1.0,0,0,7,1180,1180,1955
257,20150211T000000,315000,3.0,1.75,1580,11455,1.0,0,0,7,1200,380,1974
258,20141124T000000,255000,3.0,1.0,1230,10170,1.0,0,0,7,1230,0,1979
259,20140829T000000,693000,4.0,2.5,2460,4425,2.0,0,0,8,2460,0,2006
260,20141202T000000,780000,3.0,1.0,1660,4400,1.5,0,0,8,1460,200,1911
261,20141024T000000,237000,3.0,1.75,1270,8470,1.0,0,0,7,1270,0,1960
262,20141216T000000,525000,3.0,2.25,2100,40510,2.0,0,0,10,1320,780,1979
263,20150428T000000,425000,2.0,1.0,770,5040,1.0,0,0,5,770,0,1930
264,20141027T000000,369900,1.0,0.75,760,10079,1.0,1,4,5,760,0,1936
265,20140519T000000,290000,4.0,2.5,1700,7280,2.0,0,0,7,1700,0,1988
266,20140929T000000,285000,3.0,1.0,1120,10701,1.0,0,0,7,1120,0,1954
267,20140814T000000,415000,2.0,1.0,1070,4500,1.0,0,0,7,1070,0,1937
268,20150409T000000,272500,3.0,2.5,2070,9900,1.0,0,0,8,1420,650,1979
269,20150504T000000,2900000,4.0,3.25,5050,20100,1.5,0,2,11,4750,300,1982
270,20141007T000000,1365000,4.0,4.75,5310,57346,2.0,0,0,11,5310,0,1989
271,20150501T000000,436000,2.0,1.0,1040,7538,1.0,0,0,7,1040,0,1939
272,20141017T000000,210000,3.0,1.0,1700,11390,1.0,0,0,7,1700,0,1967
273,20140925T000000,236000,3.0,1.0,1300,5898,1.0,0,0,7,1300,0,1961
274,20141124T000000,331000,3.0,1.75,1080,1306,1.0,0,0,7,580,500,1954
275,20150320T000000,365000,3.0,2.5,2653,4510,2.0,0,0,8,2653,0,2006
276,20150127T000000,450000,3.0,2.0,2290,16258,1.0,0,0,8,2290,0,1960
277,20141113T000000,770000,4.0,2.75,3820,26300,2.0,0,0,9,2850,970,2014
278,20150505T000000,455000,4.0,2.5,2210,49375,1.0,0,0,8,2210,0,1997
279,20150505T000000,405000,3.0,1.75,2390,6000,1.0,0,0,6,1240,1150,1908
280,20140703T000000,304900,4.0,1.75,2600,11325,1.0,0,0,7,1610,990,1969
281,20150227T000000,170000,2.0,1.0,860,5265,1.0,0,0,6,860,0,1931
282,20150513T000000,2050000,5.0,3.0,3830,8480,2.0,0,1,9,2630,1200,1905
283,20140630T000000,780000,4.0,2.5,3500,7048,2.0,0,0,9,3500,0,2005
284,20150410T000000,330000,3.0,3.0,2420,13959,1.0,0,0,8,1740,680,1988
285,20140905T000000,370000,4.0,2.5,2720,8666,2.0,0,0,9,2720,0,1992
286,20141017T000000,467000,5.0,2.25,2500,13500,1.0,0,0,7,1850,650,1979
287,20150209T000000,405000,3.0,1.75,1670,6720,1.0,0,0,7,1140,530,1980
288,20140702T000000,675000,5.0,2.25,2900,10300,1.0,0,0,8,1450,1450,1985
289,20140812T000000,500000,2.0,1.0,1640,14100,1.0,0,0,7,1140,500,1954
290,20140723T000000,389999,4.0,2.5,1890,15770,2.0,0,0,7,1890,0,1968
291,20150224T000000,630000,4.0,1.75,2950,9025,1.0,0,2,8,1780,1170,1975
292,20141022T000000,360000,4.0,2.5,2160,9528,2.0,0,0,9,2160,0,1992
293,20141002T000000,580000,4.0,3.0,3280,11060,2.0,0,0,8,2270,1010,1986
294,20140709T000000,550000,3.0,2.0,1970,4166,2.0,0,3,8,1270,700,1929
295,20140710T000000,879000,4.0,2.5,3360,22111,2.0,0,0,10,3360,0,1994
296,20140822T000000,265000,3.0,2.0,1320,8959,1.0,0,0,7,1320,0,1993
297,20150304T000000,446500,3.0,2.5,2650,7286,2.0,0,0,8,2650,0,1990
298,20140602T000000,404000,3.0,1.5,2030,8880,1.0,0,0,7,1330,700,1963
299,20140529T000000,267500,3.0,1.75,1590,11914,1.0,0,2,7,1090,500,1957
300,20140624T000000,3075000,4.0,5.0,4550,18641,1.0,1,4,10,2600,1950,2002
301,20140811T000000,335000,3.0,2.5,2440,7632,2.0,0,0,8,2440,0,1998
302,20140619T000000,576000,3.0,2.5,1940,9000,1.0,0,0,7,970,970,1948
303,20150401T000000,208633,3.0,2.5,2040,3810,2.0,0,0,8,2040,0,2006
304,20150115T000000,315000,3.0,2.25,2200,8750,1.0,0,0,7,1120,1080,1964
305,20150217T000000,725000,3.0,1.75,1920,3300,1.0,0,0,8,960,960,1913
306,20150403T000000,550000,4.0,2.75,1800,7750,1.0,0,0,8,1400,400,1965
307,20140612T000000,610750,4.0,2.25,2180,7297,2.0,0,0,8,2180,0,1984
308,20150228T000000,550700,2.0,1.0,1010,5000,1.5,0,0,6,1010,0,1908
309,20150108T000000,665000,4.0,2.75,3320,10574,2.0,0,0,8,2220,1100,1960
310,20150209T000000,834000,4.0,2.5,2370,4000,1.5,0,2,8,1980,390,1928
311,20141023T000000,201000,5.0,1.75,1660,78408,1.5,0,0,6,1660,0,1915
312,20140502T000000,2384000,5.0,2.5,3650,9050,2.0,0,4,10,3370,280,1921
313,20140618T000000,1384000,4.0,3.25,4290,12103,1.0,0,3,11,2690,1600,1997
314,20141209T000000,1400000,4.0,3.25,4290,12103,1.0,0,3,11,2690,1600,1997
